"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-01-25",,"50","19"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-01-26",,"45","20"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-01-27",,"48","18"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-01-28",,"57","21"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-01-29",,"59","27"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-01-30",,"61","24"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-01-31",,"65","21"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-02-01",,"61","21"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-02-02",,"50","30"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-02-03",,"42","36"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-02-04",,"50","25"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-02-05",,"55","20"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-02-06",,"55","24"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-02-07",,"48","30"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-02-08",,"48","22"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-02-09",,"46","18"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-02-10",,"28","21"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-02-11",,"37","-2"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-02-12",,"45","10"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-02-13",,"48","19"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-02-14",,"34","23"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-02-15",,"34","16"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-02-16",,"18","-11"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-02-17",,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-02-18",,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-02-19",,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-02-20",,"63","29"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-02-21",,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-02-22",,"54","27"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-02-23",,"53","24"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-02-24",,"58","21"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-02-25",,"63","30"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-02-26",,"64","29"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-02-27",,"34","3"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-02-28",,"48","1"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-02-29",,"63","19"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-03-01",,"67","23"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-03-02",,"69","22"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-03-03",,"51","32"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-03-04",,"45","21"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-03-05",,"47","15"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-03-06",,"61","26"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-03-07",,"31","22"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-03-08",,"41","19"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-03-09",,"54","13"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-03-10",,"65","19"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-03-11",,"63","21"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-03-12",,"62","28"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-03-13",,"47","33"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-03-14",,"47","25"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-03-15",,"52","16"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-03-16",,"54","19"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-03-17",,"47","13"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-03-18",,"63","11"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-03-19",,"66","22"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-03-20",,"55","22"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-03-21",,"71","26"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-03-22",,"47","20"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-03-23",,"40","23"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-03-24",,"35","19"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-03-25",,"26","13"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-03-26",,"44","5"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-03-27",,"55","9"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-03-28",,"67","20"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-03-29",,"54","27"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-03-30",,"54","24"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-03-31",,"58","33"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-04-01",,"40","28"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-04-02",,"61","25"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-04-03",,"68","20"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-04-04",,"74","31"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-04-05",,"67","40"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-04-06",,"54","33"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-04-07",,"39","32"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-04-08",,"49","27"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-04-09",,"61","22"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-04-10",,"58","28"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-04-11",,"58","21"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-04-12",,"77","27"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-04-13",,"83","36"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-04-14",,"81","33"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-04-15",,"83","51"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-04-16",,"65","33"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-04-17",,"60","27"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-04-18",,"47","23"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-04-19",,"47","21"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-04-20",,"42","14"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-04-21",,"62","16"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-04-22",,"67","40"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-04-23",,"63","34"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-04-24",,"74","40"
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-01-01",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-01-02",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-01-03",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-01-04",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-01-05",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-01-06",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-01-07",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-01-08",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-01-09",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-01-10",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-01-11",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-01-12",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-01-13",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-01-14",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-01-15",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-01-16",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-01-17",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-01-18",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-01-19",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-01-20",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-01-21",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-01-22",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-01-23",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-01-24",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-01-25",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-01-26",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-01-27",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-01-28",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-01-29",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-01-30",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-01-31",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-02-01",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-02-02",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-02-03",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-02-04",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-02-05",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-02-06",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-02-07",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-02-08",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-02-09",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-02-10",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-02-11",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-02-12",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-02-13",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-02-14",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-02-15",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-02-16",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-02-17",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-02-18",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-02-19",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-02-20",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-02-21",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-02-22",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-02-23",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-02-24",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-02-25",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-02-26",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-02-27",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-02-28",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-02-29",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-03-01",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-03-02",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-03-03",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-03-04",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-03-05",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-03-06",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-03-07",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-03-08",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-03-09",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-03-10",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-03-11",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-03-12",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-03-13",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-03-14",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-03-15",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-03-16",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-03-17",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-03-18",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-03-19",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-03-20",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-03-21",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-03-22",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-03-23",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-03-24",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-03-25",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-03-26",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-03-27",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-03-28",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-03-29",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-03-30",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-03-31",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-04-01",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-04-02",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-04-03",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-04-04",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-04-05",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-04-06",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-04-07",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-04-08",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-04-09",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-04-10",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-04-11",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-04-12",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-04-13",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-04-14",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-04-15",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-04-16",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-04-17",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-04-18",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-04-19",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-04-20",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-04-21",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-04-22",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-04-23",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-04-24",,,
"US1NEBX0005","ALLIANCE 5.4 E, NE US","2024-04-25",,,
"US1NEBX0007","ALLIANCE 10.1 SW, NE US","2024-01-01",,,
"US1NEBX0007","ALLIANCE 10.1 SW, NE US","2024-01-02",,,
"US1NEBX0007","ALLIANCE 10.1 SW, NE US","2024-01-03",,,
"US1NEBX0007","ALLIANCE 10.1 SW, NE US","2024-01-04",,,
"US1NEBX0007","ALLIANCE 10.1 SW, NE US","2024-01-25",,,
"US1NEBX0007","ALLIANCE 10.1 SW, NE US","2024-01-26",,,
"US1NEBX0007","ALLIANCE 10.1 SW, NE US","2024-01-27",,,
"US1NEBX0007","ALLIANCE 10.1 SW, NE US","2024-01-28",,,
"US1NEBX0007","ALLIANCE 10.1 SW, NE US","2024-01-29",,,
"US1NEBX0007","ALLIANCE 10.1 SW, NE US","2024-01-30",,,
"US1NEBX0007","ALLIANCE 10.1 SW, NE US","2024-01-31",,,
"US1NEBX0007","ALLIANCE 10.1 SW, NE US","2024-02-01",,,
"US1NEBX0007","ALLIANCE 10.1 SW, NE US","2024-02-02",,,
"US1NEBX0007","ALLIANCE 10.1 SW, NE US","2024-02-03",,,
"US1NEBX0007","ALLIANCE 10.1 SW, NE US","2024-02-04",,,
"US1NEBX0007","ALLIANCE 10.1 SW, NE US","2024-02-05",,,
"US1NEBX0007","ALLIANCE 10.1 SW, NE US","2024-02-06",,,
"US1NEBX0007","ALLIANCE 10.1 SW, NE US","2024-02-07",,,
"US1NEBX0007","ALLIANCE 10.1 SW, NE US","2024-02-08",,,
"US1NEBX0007","ALLIANCE 10.1 SW, NE US","2024-02-09",,,
"US1NEBX0007","ALLIANCE 10.1 SW, NE US","2024-02-10",,,
"US1NEBX0007","ALLIANCE 10.1 SW, NE US","2024-02-11",,,
"US1NEBX0007","ALLIANCE 10.1 SW, NE US","2024-02-12",,,
"US1NEBX0007","ALLIANCE 10.1 SW, NE US","2024-02-13",,,
"US1NEBX0007","ALLIANCE 10.1 SW, NE US","2024-02-16",,,
"US1NEBX0007","ALLIANCE 10.1 SW, NE US","2024-02-17",,,
"US1NEBX0007","ALLIANCE 10.1 SW, NE US","2024-02-18",,,
"US1NEBX0007","ALLIANCE 10.1 SW, NE US","2024-02-19",,,
"US1NEBX0007","ALLIANCE 10.1 SW, NE US","2024-02-20",,,
"US1NEBX0007","ALLIANCE 10.1 SW, NE US","2024-02-21",,,
"US1NEBX0007","ALLIANCE 10.1 SW, NE US","2024-02-22",,,
"US1NEBX0007","ALLIANCE 10.1 SW, NE US","2024-02-23",,,
"US1NEBX0007","ALLIANCE 10.1 SW, NE US","2024-02-24",,,
"US1NEBX0007","ALLIANCE 10.1 SW, NE US","2024-02-25",,,
"US1NEBX0007","ALLIANCE 10.1 SW, NE US","2024-02-26",,,
"US1NEBX0007","ALLIANCE 10.1 SW, NE US","2024-02-27",,,
"US1NEBX0007","ALLIANCE 10.1 SW, NE US","2024-02-28",,,
"US1NEBX0007","ALLIANCE 10.1 SW, NE US","2024-02-29",,,
"US1NEBX0007","ALLIANCE 10.1 SW, NE US","2024-03-01",,,
"US1NEBX0007","ALLIANCE 10.1 SW, NE US","2024-03-02",,,
"US1NEBX0007","ALLIANCE 10.1 SW, NE US","2024-03-03",,,
"US1NEBX0007","ALLIANCE 10.1 SW, NE US","2024-03-04",,,
"US1NEBX0007","ALLIANCE 10.1 SW, NE US","2024-03-05",,,
"US1NEBX0007","ALLIANCE 10.1 SW, NE US","2024-03-06",,,
"US1NEBX0007","ALLIANCE 10.1 SW, NE US","2024-03-07",,,
"US1NEBX0007","ALLIANCE 10.1 SW, NE US","2024-03-08",,,
"US1NEBX0007","ALLIANCE 10.1 SW, NE US","2024-03-09",,,
"US1NEBX0007","ALLIANCE 10.1 SW, NE US","2024-03-10",,,
"US1NEBX0007","ALLIANCE 10.1 SW, NE US","2024-03-11",,,
"US1NEBX0007","ALLIANCE 10.1 SW, NE US","2024-03-12",,,
"US1NEBX0007","ALLIANCE 10.1 SW, NE US","2024-03-13",,,
"US1NEBX0007","ALLIANCE 10.1 SW, NE US","2024-03-14",,,
"US1NEBX0007","ALLIANCE 10.1 SW, NE US","2024-03-15",,,
"US1NEBX0007","ALLIANCE 10.1 SW, NE US","2024-03-16",,,
"US1NEBX0007","ALLIANCE 10.1 SW, NE US","2024-03-17",,,
"US1NEBX0007","ALLIANCE 10.1 SW, NE US","2024-03-18",,,
"US1NEBX0007","ALLIANCE 10.1 SW, NE US","2024-03-19",,,
"US1NEBX0007","ALLIANCE 10.1 SW, NE US","2024-03-20",,,
"US1NEBX0007","ALLIANCE 10.1 SW, NE US","2024-03-21",,,
"US1NEBX0007","ALLIANCE 10.1 SW, NE US","2024-03-22",,,
"US1NEBX0007","ALLIANCE 10.1 SW, NE US","2024-03-23",,,
"US1NEBX0007","ALLIANCE 10.1 SW, NE US","2024-03-24",,,
"US1NEBX0007","ALLIANCE 10.1 SW, NE US","2024-03-25",,,
"US1NEBX0007","ALLIANCE 10.1 SW, NE US","2024-03-26",,,
"US1NEBX0007","ALLIANCE 10.1 SW, NE US","2024-03-27",,,
"US1NEBX0007","ALLIANCE 10.1 SW, NE US","2024-03-28",,,
"US1NEBX0007","ALLIANCE 10.1 SW, NE US","2024-03-29",,,
"US1NEBX0007","ALLIANCE 10.1 SW, NE US","2024-03-30",,,
"US1NEBX0007","ALLIANCE 10.1 SW, NE US","2024-03-31",,,
"US1NEBX0007","ALLIANCE 10.1 SW, NE US","2024-04-01",,,
"US1NEBX0007","ALLIANCE 10.1 SW, NE US","2024-04-02",,,
"US1NEBX0007","ALLIANCE 10.1 SW, NE US","2024-04-03",,,
"US1NEBX0007","ALLIANCE 10.1 SW, NE US","2024-04-04",,,
"US1NEBX0007","ALLIANCE 10.1 SW, NE US","2024-04-05",,,
"US1NEBX0007","ALLIANCE 10.1 SW, NE US","2024-04-06",,,
"US1NEBX0007","ALLIANCE 10.1 SW, NE US","2024-04-07",,,
"US1NEBX0007","ALLIANCE 10.1 SW, NE US","2024-04-08",,,
"US1NEBX0007","ALLIANCE 10.1 SW, NE US","2024-04-09",,,
"US1NEBX0007","ALLIANCE 10.1 SW, NE US","2024-04-10",,,
"US1NEBX0007","ALLIANCE 10.1 SW, NE US","2024-04-11",,,
"US1NEBX0007","ALLIANCE 10.1 SW, NE US","2024-04-12",,,
"US1NEBX0007","ALLIANCE 10.1 SW, NE US","2024-04-13",,,
"US1NEBX0007","ALLIANCE 10.1 SW, NE US","2024-04-14",,,
"US1NEBX0007","ALLIANCE 10.1 SW, NE US","2024-04-15",,,
"US1NEBX0007","ALLIANCE 10.1 SW, NE US","2024-04-16",,,
"US1NEBX0007","ALLIANCE 10.1 SW, NE US","2024-04-17",,,
"US1NEBX0007","ALLIANCE 10.1 SW, NE US","2024-04-18",,,
"US1NEBX0007","ALLIANCE 10.1 SW, NE US","2024-04-19",,,
"US1NEBX0007","ALLIANCE 10.1 SW, NE US","2024-04-20",,,
"US1NEBX0007","ALLIANCE 10.1 SW, NE US","2024-04-21",,,
"US1NEBX0007","ALLIANCE 10.1 SW, NE US","2024-04-22",,,
"US1NEBX0007","ALLIANCE 10.1 SW, NE US","2024-04-23",,,
